23 141 F3
69 143 F6
113 142 F9
122 175 F8
130 201 F7
22 103 R1
61 109 R4
113 106 R7
132 75 R8
143 40 R9
161 185 D1
154 158 D2
144 124 D3
155 91 D6
165 63 D9
